ཨཱོ་	o:_⁵⁵ 
པྱ་	_tɕ_a_⁵⁵ 
པྭ་	_p_a:_⁵⁵ 
པཱང་	_p_a:ŋ_⁵⁵ 
པཱ་	_p_a:_⁵⁵ 
ནཱ་	_n_a:_¹³ 
ནའང་	_n_a:ŋ_¹³ 
དུའང་	_th_u:ŋ_¹³
དཱ་	_th_a:_¹³ 
ཐྲོས་	_th_ø?_⁵⁵ 
ཐྲོལ་	_th_ol_⁵⁵ 
ཐྲོར་	_th_or_⁵⁵ 
ཐྲོམས་	_th_om_⁵⁵ 
ཐྲོམ་	_th_om_⁵⁵ 
ཐྲོབས་	_th_op_⁵⁵ 
ཐྲོབ་	_th_op_⁵⁵ 
ཐྲོན་	_th_on_⁵⁵ 
ཐྲོད་	_th_ø?_⁵⁵ 
ཐྲོངས་	_th_oŋ_⁵⁵ 
ཐྲོང་	_th_oŋ_⁵⁵ 
ཐྲོགས་	_th_o?_⁵⁵ 
ཐྲོག་	_th_o?_⁵⁵ 
ཐྲོ་	_th_o_⁵⁵ 
ཐྲེས་	_th_e?_⁵⁵ 
ཐྲེལ་	_th_el_⁵⁵ 
ཐྲེར་	_th_er_⁵⁵ 
ཐྲེམས་	_th_em_⁵⁵ 
ཐྲེམ་	_th_em_⁵⁵ 
ཐྲེབས་	_th_ep_⁵⁵ 
ཐྲེབ་	_th_ep_⁵⁵ 
ཐྲེན་	_th_en_⁵⁵ 
ཐྲེད་	_th_e?_⁵⁵ 
ཐྲེངས་	_th_eŋ_⁵⁵ 
ཐྲེང་	_th_eŋ_⁵⁵ 
ཐྲེགས་	_th_e?_⁵⁵ 
ཐྲེག་	_th_e?_⁵⁵ 
ཐྲེ་	_th_e_⁵⁵ 
ཐྲུས་	_th_y?_⁵⁵ 
ཐྲུལ་	_th_ul_⁵⁵ 
ཐྲུར་	_th_ur_⁵⁵ 
ཐྲུམས་	_th_um_⁵⁵ 
ཐྲུམ་	_th_um_⁵⁵ 
ཐྲུབས་	_th_up_⁵⁵ 
ཐྲུབ་	_th_up_⁵⁵ 
ཐྲུན་	_th_un_⁵⁵ 
ཐྲུད་	_th_y?_⁵⁵ 
ཐྲུངས་	_th_uŋ_⁵⁵ 
ཐྲུང་	_th_uŋ_⁵⁵ 
ཐྲུགས་	_th_u?_⁵⁵ 
ཐྲུག་	_th_u?_⁵⁵ 
ཐྲུ་	_th_u_⁵⁵ 
ཐྲིས་	_th_i?_⁵⁵ 
ཐྲིལ་	_th_il_⁵⁵ 
ཐྲིར་	_th_ir_⁵⁵ 
ཐྲིམས་	_th_im_⁵⁵ 
ཐྲིམ་	_th_im_⁵⁵ 
ཐྲིབས་	_th_ip_⁵⁵ 
ཐྲིབ་	_th_ip_⁵⁵ 
ཐྲིན་	_th_in_⁵⁵ 
ཐྲིད་	_th_i?_⁵⁵ 
ཐྲིངས་	_th_iŋ_⁵⁵ 
ཐྲིང་	_th_iŋ_⁵⁵ 
ཐྲིགས་	_th_i?_⁵⁵ 
ཐྲིག་	_th_i?_⁵⁵ 
ཐྲི་	_th_i_⁵⁵ 
ཐྲས་	_th_ɛ?_⁵⁵ 
ཐྲལ་	_th_el_⁵⁵ 
ཐྲར་	_th_ar_⁵⁵ 
ཐྲམས་	_th_am_⁵⁵ 
ཐྲམ་	_th_am_⁵⁵ 
ཐྲབས་	_th_ap_⁵⁵ 
ཐྲབ་	_th_ap_⁵⁵ 
ཐྲན་	_th_an_⁵⁵ 
ཐྲད་	_th_ɛ_⁵⁵ 
ཐྲངས་	_th_aŋ_⁵⁵ 
ཐྲང་	_th_aŋ_⁵⁵ 
ཐྲགས་	_th_a?_⁵⁵ 
ཐྲག་	_th_a?_⁵⁵ 
ཐྲ་	_th_a_⁵⁵ 
ཐཱང་	_th_a:ŋ_⁵⁵ 
ཏཱ་	_t_a:_⁵⁵ 
ཊ་	_t_a_⁵⁵
གཱ་	_kh_a:_¹³ 
ཀཱ་	_k_a:_⁵⁵
ཀའོ་	_k_ø_⁵⁵ 
ཀལ་	_k_ɛ:_⁵⁵ 
ཀིངས་	_k_iŋ_⁵¹ 
ཀིད་	_k_i?_⁵¹ 
ཀིས་	_k_i?_⁵¹ 
ཀུ་	_k_u_⁵⁵ 
ཀུད་	_k_y?_⁵¹ 
ཀུབ་	_k_up_⁵¹ 
ཀེད་	_k_e?_⁵¹ 
ཀེབ་	_k_ep_⁵¹ 
ཀེབས་	_k_ep_⁵¹ 
ཀེས་	_k_e?_⁵¹ 
ཀོའོ་	_k_o_⁵⁵ 
ཀྭ་	_k_a_⁵⁵ 
ཀྭག་	_k_a?_⁵¹ 
ཀྭང་	_k_aŋ_⁵⁵ 
ཀྭབ་	_k_ap_⁵¹ 
ཀྭམ་	_k_am_⁵⁵ 
ཀྭར་	_k_ar_⁵⁵ 
ཀྱན་	_c_an_⁵⁵ 
ཀྱབ་	_c_ap_⁵¹ 
ཀྱིད་	_c_i?_⁵¹ 
ཀྱིབ་	_c_ip_⁵¹ 
ཀྱིམ་	_c_im_⁵⁵ 
ཀྱིའི་	_c_i:_⁵⁵ 
ཀྱུད་	_c_y?_⁵¹ 
ཀྱུབ་	_c_up_⁵¹ 
ཀྱུམ་	_c_um_⁵⁵ 
ཀྱུའི་	_c_y:_⁵⁵ 
ཀྱུལ་	_c_y:_⁵⁵ 
ཀྱེག་	_c_e?_⁵¹ 
ཀྱེང་	_c_eŋ_⁵⁵ 
ཀྱེན་	_c_en_⁵⁵ 
ཀྱེབ་	_c_ep_⁵¹ 
ཀྱེམ་	_c_em_⁵⁵ 
ཀྱེར་	_c_er_⁵⁵ 
ཀྱེས་	_c_e?_⁵¹ 
ཀྱོད་	_c_ø?_⁵¹ 
ཀྱོབ་	_c_op_⁵¹ 
ཀྱོལ་	_c_ø:_⁵⁵ 
ཀྱོས་	_c_ø?_⁵¹ 
ཀྲ་	_tʂ_a_⁵⁵ 
ཀྲའོ་	_tʂ_ø_⁵⁵ 
ཀྲར་	_tʂ_ar_⁵⁵ 
ཀྲལ་	_tʂ_ɛ:_⁵⁵ 
ཀྲས་	_tʂ_ɛ?_⁵¹ 
ཀྲིད་	_tʂ_i?_⁵¹ 
ཀྲིབ་	_tʂ_ip_⁵¹ 
ཀྲིམ་	_tʂ_im_⁵⁵ 
ཀྲིམས་	_tʂ_im_⁵¹ 
ཀྲིར་	_tʂ_ir_⁵⁵ 
ཀྲིལ་	_tʂ_i:_⁵⁵ 
ཀྲིས་	_tʂ_i?_⁵¹ 
ཀྲུད་	_tʂ_y?_⁵¹ 
ཀྲུན་	_tʂ_yn_⁵⁵ 
ཀྲུར་	_tʂ_ur_⁵⁵ 
ཀྲུལ་	_tʂ_y:_⁵⁵ 
ཀྲུས་	_tʂ_y?_⁵¹ 
ཀྲེག་	_tʂ_e?_⁵¹ 
ཀྲེད་	_tʂ_e?_⁵¹ 
ཀྲེན་	_tʂ_en_⁵⁵ 
ཀྲེབ་	_tʂ_ep_⁵¹ 
ཀྲེམ་	_tʂ_em_⁵⁵ 
ཀྲེར་	_tʂ_er_⁵⁵ 
ཀྲེལ་	_tʂ_e:_⁵⁵ 
ཀླ་	_l_a_⁵⁵ 
ཀླང་	_l_aŋ_⁵⁵ 
ཀླངས་	_l_aŋ_⁵¹ 
ཀླབས་	_l_əp_⁵¹ 
ཀླམ་	_l_am_⁵⁵ 
ཀླམས་	_l_am_⁵¹ 
ཀླར་	_l_ar_⁵⁵ 
ཀླི་	_l_i_⁵⁵ 
ཀླིག་	_l_i?_⁵¹ 
ཀླིགས་	_l_i?_⁵¹ 
ཀླིངས་	_l_iŋ_⁵¹ 
ཀླིད་	_l_i?_⁵¹ 
ཀླིན་	_l_in_⁵⁵ 
ཀླིབ་	_l_ip_⁵¹ 
ཀླིབས་	_l_ip_⁵¹ 
ཀླིམ་	_l_im_⁵⁵ 
ཀླིམས་	_l_im_⁵¹ 
ཀླིར་	_l_ir_⁵⁵ 
ཀླིལ་	_l_i:_⁵⁵ 
ཀླིས་	_l_i?_⁵¹ 
ཀླུག་	_l_u?_⁵¹ 
ཀླུགས་	_l_u?_⁵¹ 
ཀླུད་	_l_y?_⁵¹ 
ཀླུན་	_l_yn_⁵⁵ 
ཀླུམ་	_l_um_⁵⁵ 
ཀླུམས་	_l_um_⁵¹ 
ཀླུར་	_l_ur_⁵⁵ 
ཀླུལ་	_l_y:_⁵⁵ 
ཀླེ་	_l_e_⁵⁵ 
ཀླེག་	_l_e?_⁵¹ 
ཀླེགས་	_l_e?_⁵¹ 
ཀླེང་	_l_eŋ_⁵⁵ 
ཀླེངས་	_l_eŋ_⁵¹ 
ཀླེད་	_l_e?_⁵¹ 
ཀླེན་	_l_en_⁵⁵ 
ཀླེབ་	_l_ep_⁵¹ 
ཀླེབས་	_l_ep_⁵¹ 
ཀླེམ་	_l_em_⁵⁵ 
ཀླེམས་	_l_em_⁵¹ 
ཀླེར་	_l_er_⁵⁵ 
ཀླེལ་	_l_e:_⁵⁵ 
ཀླེས་	_l_e?_⁵¹ 
ཀློབ་	_l_op_⁵¹ 
ཀློམ་	_l_om_⁵⁵ 
ཀློར་	_l_or_⁵⁵ 
ཀློལ་	_l_ø:_⁵⁵ 
ཀློས་	_l_ø?_⁵¹ 
ཁུབ་	_kh_up_⁵¹ 
ཁུབས་	_kh_up_⁵¹ 
ཁེར་	_kh_er_⁵⁵ 
ཁོམས་	_kh_om_⁵¹ 
ཁོའོ་	_kh_o_⁵⁵ 
ཁྭག་	_kh_a?_⁵¹ 
ཁྭགས་	_kh_a?_⁵¹ 
ཁྭངས་	_kh_aŋ_⁵¹ 
ཁྭད་	_kh_ɛ?_⁵¹ 
ཁྭན་	_kh_an_⁵⁵ 
ཁྭབ་	_kh_ap_⁵¹ 
ཁྭབས་	_kh_əp_⁵¹ 
ཁྭམ་	_kh_am_⁵⁵ 
ཁྭམས་	_kh_am_⁵¹ 
ཁྭར་	_kh_ar_⁵⁵ 
ཁྭལ་	_kh_ɛ:_⁵⁵ 
ཁྭས་	_kh_ɛ?_⁵¹ 
ཁྱ་	_ch_a_⁵⁵ 
ཁྱང་	_ch_aŋ_⁵⁵ 
ཁྱངས་	_ch_aŋ_⁵¹ 
ཁྱན་	_ch_an_⁵⁵ 
ཁྱབས་	_ch_əp_⁵¹ 
ཁྱལ་	_ch_ɛ:_⁵⁵ 
ཁྱས་	_ch_ɛ?_⁵¹ 
ཁྱིག་	_ch_i?_⁵¹ 
ཁྱིངས་	_ch_iŋ_⁵¹ 
ཁྱིན་	_ch_in_⁵⁵ 
ཁྱིབ་	_ch_ip_⁵¹ 
ཁྱིབས་	_ch_ip_⁵¹ 
ཁྱིམས་	_ch_im_⁵¹ 
ཁྱུངས་	_ch_up_⁵¹ 
ཁྱུན་	_ch_yn_⁵⁵ 
ཁྱུབ་	_ch_up_⁵¹ 
ཁྱུབས་	_ch_up_⁵¹ 
ཁྱུམ་	_ch_um_⁵⁵ 
ཁྱུམས་	_ch_um_⁵¹ 
ཁྱུའི་	_ch_y:_⁵⁵ 
ཁྱུལ་	_ch_y:_⁵⁵ 
ཁྱུས་	_ch_y?_⁵¹ 
ཁྱེག་	_ch_e?_⁵¹ 
ཁྱེགས་	_ch_e?_⁵¹ 
ཁྱེང་	_ch_eŋ_⁵⁵ 
ཁྱེངས་	_ch_eŋ_⁵¹ 
ཁྱེན་	_ch_en_⁵⁵ 
ཁྱེབ་	_ch_ep_⁵¹ 
ཁྱེབས་	_ch_ep_⁵¹ 
ཁྱེམས་	_ch_em_⁵¹ 
ཁྱོགས་	_ch_o?_⁵¹ 
ཁྱོབས་	_ch_op_⁵¹ 
ཁྱོམས་	_ch_om_⁵¹ 
ཁྲར་	_tʂh_ar_⁵⁵ 
ཁྲིང་	_tʂh_iŋ_⁵⁵ 
ཁྲིངས་	_tʂh_iŋ_⁵¹ 
ཁྲིན་	_tʂh_in_⁵⁵ 
ཁྲིབ་	_tʂh_ip_⁵¹ 
ཁྲིབས་	_tʂh_ip_⁵¹ 
ཁྲིམ་	_tʂh_im_⁵⁵ 
ཁྲིའི་	_tʂh_i:_⁵⁵ 
ཁྲིར་	_tʂh_ir_⁵⁵ 
ཁྲུགས་	_tʂh_u?_⁵¹ 
ཁྲུངས་	_tʂh_up_⁵¹ 
ཁྲུབ་	_tʂh_up_⁵¹ 
ཁྲུབས་	_tʂh_up_⁵¹ 
ཁྲུར་	_tʂh_ur_⁵⁵ 
ཁྲེག་	_tʂh_e?_⁵¹ 
ཁྲེངས་	_tʂh_eŋ_⁵¹ 
ཁྲེབས་	_tʂh_ep_⁵¹ 
ཁྲེར་	_tʂh_er_+B1819⁵⁵ 
ཁྲོགས་	_tʂh_o?_⁵¹ 
ཁྲོར་	_tʂh_or_⁵⁵ 
གཅངས་	_tɕ_aŋ_⁵¹ 
གཅབ་	_tɕ_ap_⁵¹ 
གཅབས་	_tɕ_əp_⁵¹ 
གཅམས་	_tɕ_am_⁵¹ 
གཅའ་	_tɕ_a_⁵⁵ 
གཅས་	_tɕ_ɛ?_⁵¹ 
གཅིང་	_tɕ_iŋ_⁵⁵ 
གཅིངས་	_tɕ_iŋ_⁵¹ 
གཅིད་	_tɕ_i?_⁵¹ 
གཅིབ་	_tɕ_ip_⁵¹ 
གཅིབས་	_tɕ_ip_⁵¹ 
གཅིམ་	_tɕ_im_⁵⁵ 
གཅིམས་	_tɕ_im_⁵¹ 
གཅུངས་	_tɕ_up_⁵¹ 
གཅུབ་	_tɕ_up_⁵¹ 
གཅུབས་	_tɕ_up_⁵¹ 
གཅུམས་	_tɕ_um_⁵¹ 
གཅུལ་	_tɕ_y:_⁵⁵ 
གཅེག་	_tɕ_e?_⁵¹ 
གཅེགས་	_tɕ_e?_⁵¹ 
གཅེང་	_tɕ_eŋ_⁵⁵ 
གཅེངས་	_tɕ_eŋ_⁵¹ 
གཅེད་	_tɕ_e?_⁵¹ 
གཅེབ་	_tɕ_ep_⁵¹ 
གཅེབས་	_tɕ_ep_⁵¹ 
གཅེམས་	_tɕ_em_⁵¹ 
གཅེལ་	_tɕ_e:_⁵⁵ 
གཅོགས་	_tɕ_o?_⁵¹ 
གཅོངས་	_tɕ_oŋ_⁵¹ 
གཅོན་	_tɕ_on_⁵⁵ 
གཅོབ་	_tɕ_op_⁵¹ 
གཅོབས་	_tɕ_op_⁵¹ 
གཅོམས་	_tɕ_om_⁵¹ 
གཉངས་	_ȵ_aŋ_¹³² 
གཉད་	_ȵ_ɛ?_¹³² 
གཉབས་	_ȵ_əp_¹³² 
གཉམ་	_ȵ_am_¹³ 
གཉམས་	_ȵ_am_¹³² 
གཉར་	_ȵ_ar_¹³ 
གཉས་	_ȵ_ɛ?_¹³² 
གཉིགས་	_ȵ_i?_¹³² 
གཉིང་	_ȵ_iŋ_¹³ 
གཉིངས་	_ȵ_iŋ_¹³² 
གཉིན་	_ȵ_in_¹³ 
གཉིབ་	_ȵ_ip_¹³² 
གཉིབས་	_ȵ_ip_¹³² 
གཉིམས་	_ȵ_im_¹³² 
གཉིར་	_ȵ_ir_¹³ 
གཉུ་	_ȵ_u_¹³ 
གཉུང་	_ȵ_uŋ_¹³ 
གཉུངས་	_ȵ_up_¹³² 
གཉུད་	_ȵ_y?_¹³² 
གཉུན་	_ȵ_yn_¹³ 
གཉུབ་	_ȵ_up_¹³² 
གཉུབས་	_ȵ_up_¹³² 
གཉུམ་	_ȵ_um_¹³ 
གཉུམས་	_ȵ_um_¹³² 
གཉུར་	_ȵ_ur_¹³ 
གཉུས་	_ȵ_y?_¹³² 
གཉེགས་	_ȵ_e?_¹³² 
གཉེང་	_ȵ_eŋ_¹³ 
གཉེངས་	_ȵ_eŋ_¹³² 
གཉེད་	_ȵ_e?_¹³² 
གཉེབ་	_ȵ_ep_¹³² 
གཉེབས་	_ȵ_ep_¹³² 
གཉེམ་	_ȵ_em_¹³ 
གཉེམས་	_ȵ_em_¹³² 
གཉེས་	_ȵ_e?_¹³² 
གཉོ་	_ȵ_o_¹³ 
གཉོངས་	_ȵ_oŋ_¹³² 
གཉོན་	_ȵ_on_¹³ 
གཉོབ་	_ȵ_op_¹³² 
གཉོབས་	_ȵ_op_¹³² 
གཉོམས་	_ȵ_om_¹³² 
གཉོར་	_ȵ_or_¹³ 
གཉོལ་	_ȵ_ø:_¹³ 
གཏངས་	_t_aŋ_⁵¹ 
གཏབ་	_t_ap_⁵¹ 
གཏབས་	_t_əp_⁵¹ 
གཏས་	_t_ɛ?_⁵¹ 
གཏིངས་	_t_iŋ_⁵¹ 
གཏིད་	_t_i?_⁵¹ 
གཏིན་	_t_in_⁵⁵ 
གཏིམས་	_t_im_⁵¹ 
གཏིལ་	_t_i:_⁵⁵ 
གཏིས་	_t_i?_⁵¹ 
གཏུང་	_t_uŋ_⁵⁵ 
གཏུངས་	_t_up_⁵¹ 
གཏུད་	_t_y?_⁵¹ 
གཏུས་	_t_y?_⁵¹ 
གཏེག་	_t_e?_⁵¹ 
གཏེགས་	_t_e?_⁵¹ 
གཏེངས་	_t_eŋ_⁵¹ 
གཏེད་	_t_e?_⁵¹ 
གཏེན་	_t_en_⁵⁵ 
གཏེབ་	_t_ep_⁵¹ 
གཏེབས་	_t_ep_⁵¹ 
གཏེམ་	_t_em_⁵⁵ 
